short_name,edrpou,counterparty_type,group_name
ВАРСІЛА ТРЕЙДІНГ ЛІМІТЕД,00000000,ЮО,AIS
"АКЦІОНЕРНЕ ТОВАРИСТВО ""РИСОІЛ С.А.""",00000000,ЮО,RISOIL
ШАБРОЙ НАТАЛІЯ МИКОЛАЇВНА ФОП,00000000,ФО,ZARS
"ТОВ ""ІЕФАЙ ХОЛДИНГ""",00000000,ЮО,EFFECTIVE INVESTMENTS
DESCOMO LIMITED,00000000,ЮО,ALEF
ПІМОЛСЕН ХОЛДІНГС ЛТД(PIMOLSEN HOLDING,00000000,ЮО,ARKADIYA CITY
FUNAMA HOLDINGS LIMITED,00000000,ЮО,ALEF
ALEF Investment Holding GmbH,00000000,ЮО,ALEF
ТРЕДІШ ІНВЕСТМЕНТС ЛТД,00000000,ЮО,METALURGTRANS
Елслі Ентерпрайзіс Лімітед,00000000,ЮО,ALEF
СОЮЗ ХОЛДИНГ А.Т.,00000000,ЮО,SOUZ
"ПрАТ ""ПЗЕМБ""",00114086,ЮО,PZEMB
"АТ ""ДТЕК ОДЕСЬКІ ЕЛЕКТРОМЕРЕЖІ""",00131713,ЮО,CKM
"АТ ""ДНІПРОВАЖМАШ""",00168076,ЮО,DNEPROTYAZHMASH
ПРАТ «ДТЕК ПАВЛОГРАДВУГІЛЛЯ»,00178353,ЮО,CKM
"ПАТ ""ЗАВОД ПІВДЕНКАБЕЛЬ""",00214534,ЮО,PIVDENKABEL
"ПРАТ ""ХІММАШ""",00217679,ЮО,ZHITOMIRSKI LASOSHCHI
"ТОВ ""ХОЛДІНГОВА КОМПАНІЯ МІКРОН""",00222338,ЮО,Vaisman Vladislav
"ПРАТ ""КЗВВ""",00222999,ЮО,UMP
"ПрАТ ""ХВЗ""",00232779,ЮО,USI
"ПрАТ ""ПЕРВОМАЙСЬКИЙ КАР'ЄР """"ГРАНІТ""""""",00292356,ЮО,DCH
"ТОВ ""ОДЕСЬКА ХУТРОВА ФАБРИКА""",00300038,ЮО,UKK
"ПрАТ ""АЛЬБАТРОС""",00308258,ЮО,ALBATROS
"ПрАТ ""КМЗ""",00333581,ЮО,OLKOM
"ТОВ""Буський консервний завод""",00376403,ЮО,BKZ
"ПРАТ ""ЛУЦЬК ФУДЗ""",00377163,ЮО,LUTSK FOODS
"ТДВ ""ЗАПОРІЗЬКИЙ ХЛІБОЗАВОД №3""",00378038,ЮО,UKR AGRO PRODUKT
"ТДВ ""ОРІХІВСЬКИЙ ХЛІБОКОМБІНАТ""",00378164,ЮО,UKR AGRO PRODUKT
"ТДВ ""БЕРДЯНСЬКИЙ ХЛІБОКОМБІНАТ""",00378218,ЮО,UKR AGRO PRODUKT
"ТОВ ""БОГУСЛАВСЬКИЙ ЗАВОД ПРОДТОВАРІВ""",00378431,ЮО,FOZZY GROUP
"АТ ""ЖИТОМИРСЬКІ ЛАСОЩІ""",00382071,ЮО,ZHITOMIRSKI LASOSHCHI
"ПрАТ ""ПЕРЕМОГА""",00413239,ЮО,TROPIK
"АТ  ""КОБЛЕВО""",00413966,ЮО,BAYADERA GROUP
"АТ ""РАДСАД""",00413989,ЮО,BAYADERA GROUP
"ПрАТ ""ГРОНА""",00415863,ЮО,Blumberg
"АТ""БОГОДУХІВСЬКИЙ М’ЯСОКОМБІНАТ""",00444122,ЮО,SMK
"ПАТ ""ЧЕРНІГІВСЬКИЙ МОЛОКОЗАВОД""",00447971,ЮО,MLK FOODS
"ПАТ ""Христинівський молокозавод""",00451725,ЮО,AGROSVIT
"ТДВ СГВП ""ПРАВДА""",00488875,ЮО,PAEK
"ПрАТ ""ГРЕБІНКИ - ХЛІБОПРОДУКТ""",00688491,ЮО,YAVKYNO
"ПРАТ ""ВІДРОДЖЕННЯ""",00728629,ЮО,FRIDOM FARM
"ПрАТ ""Агрофірма """"Провесінь""""""",00854400,ЮО,AGRO PROVESIN
"АТ "" ЕЛЕВАТОРМЛИНМАШ""",00931767,ЮО,NOWY STIL
"ПРАТ ""ВЕСЕЛО-КУТСЬКИЙ КХП""",00955294,ЮО,TRANS SERVICE
"ТОВ ""БЕРЕЗІВСЬКИЙ ЕЛЕВАТОР""",00955331,ЮО,AGROINVESTGROUP
"ПрАТ ""Полтавський ДБК""",01270581,ЮО,POLTAVSKIY DBK
"ТОВ ""СПМК-17""",01353551,ЮО,BK DORLIDER
"ТДВ ""МЗБК""",01373986,ЮО,MOSTOSTROY
"ПрАТ ""ВКФ """"ЮГСТРОЙ""""""",01391563,ЮО,IUHSTROI
"ТОВ "" БЕРІЗКА""",01550889,ЮО,USI
"ТОВ ""ХОЗТОРГ""",01552836,ЮО,IMPERIYA (Velichko)
"АТ ""Полтавахолод""",01553770,ЮО,KROK
"ПРАТ ""ДНІПРЯНКА""",01565276,ЮО,FOZZY GROUP
ПрАТ МОНТАЖСЕРВІС,02132444,ЮО,ALEF
