field_code,field_type,description,aggregation_rule,group_level_rule
1000,financial_statement_line,Нематеріальні активи,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1001,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1002,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1005,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1010,financial_statement_line,Первісна вартість основних засобів / або рядок форми 1,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1011,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1012,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1015,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1020,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1030,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1035,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1040,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1045,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1050,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1060,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1065,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1090,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1095,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1100,financial_statement_line,Запаси,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1101,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1102,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1103,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1104,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
