mandatory_no,actual_date,potential_sample_date,segment,client_code,edrpou,client_name,must_include_flag
1,2025-12-31,2026-01-01,ТОП,757990,42751799,"ТОВ  ""Д.ТРЕЙДІНГ""",1
2,2025-12-31,2026-01-01,ТОП,564799,37129163,"ТОВ ""АЛЬБАКОР""",1
3,2025-12-31,2026-01-01,ТОП,2159923,45506389,ТОВ «ІНЖУР СКАЙ»,1
4,2025-12-31,2026-01-01,ТОП,1456179,41403314,"ТОВ ""АВІАКОМПАНІЯ СКАЙАП""",1
5,2025-12-31,2026-01-01,ТОП,473782,40532173,"ТОВ ""ЮТЕРМ УКРАЇНА""",1
6,2025-12-31,2026-01-01,ТОП,365334,30976452,"ТОВ ""Техноторг""",1
7,2025-12-31,2026-01-01,ТОП,401694,32165482,"ТОВ ""ВИРОБНИЧА КОМПАНІЯ """"ВІКІНГ""""""",1
8,2025-12-31,2026-01-01,ТОП,390976,40292090,"ТОВ ""ЮГФУД""",1
9,2025-12-31,2026-01-01,ТОП,1481439,45564660,"ТОВ ""ПРОМЕТЕЙ КАПИТАЛ""",1
10,2025-12-31,2026-01-01,ТОП,122945,20831737,"ТзОВ ""ТРОПІК""",1
11,2025-12-31,2026-01-01,ТОП,506731,41054005,"ТОВ ""ЕЛІКСИР УКРАЇНА""",1
12,2025-12-31,2026-01-01,ТОП,980206,32673400,"ТзОВ ""КОРМОТЕХ""",1
13,2025-12-31,2026-01-01,ТОП,72133,30704028,"ТОВ ""ВИНФОРТ""",1
14,2025-12-31,2026-01-01,ТОП,1380642,45054208,"ТОВ ""ЄКСОН ЮК""",1
15,2025-12-31,2026-01-01,ТОП,56445,33074226,"ТОВ ""МТ""",1
16,2025-12-31,2026-01-01,ТОП,1323640,45124442,"ТОВ ""ПАЕК-ПІВДЕНЬ""",1
17,2025-12-31,2026-01-01,ТОП,597596,31466053,"ТОВ ""АКВАІЗОЛ""",1
18,2025-12-31,2026-01-01,ТОП,802695,36867724,"ТОВ ""ТЕРРАФУД""",1
19,2025-12-31,2026-01-01,ТОП,344654,37278720,"ТОВ ""СП УКРСОЯ""",1
20,2025-12-31,2026-01-01,ТОП,1491277,45412956,"ТОВ ""ПВ КОЕНЕРДЖІ""",1
21,2025-12-31,2026-01-01,ТОП,1862852,45278636,"ТОВ ""ФІДНОВА ЦЕНТР""",1
22,2025-12-31,2026-01-01,інші,1324436,45038043,"ТОВ ""ПАЕК-АГРО""",1
23,2025-12-31,2026-01-01,інші,392604,40334224,"ТОВ  ""ДДС+""",1
24,2025-12-31,2026-01-01,інші,2145272,45425059,ТОВ «ІНЖУР ЕНЕРДЖІ»,1
25,2025-12-31,2026-01-01,інші,725217,40548267,"ТОВ ""ПОЛИ-ТРЕЙД""",1
26,2025-12-31,2026-01-01,інші,450850,39681292,"ТОВ ""ТД """"МІЛК-СЕРВІС""""""",1
27,2025-12-31,2026-01-01,інші,744420,40976600,"ТОВ ""ППЕК""",1
28,2025-12-31,2026-01-01,інші,119958,37037544,"ТОВ ""ТОРГОВИЙ ДІМ """"СОКАР УКРАЇНА""""""",1
29,2025-12-31,2026-01-01,інші,325714,38305367,"ТОВ ""СОКАР ПЕТРОЛЕУМ""",1
30,2025-12-31,2026-01-01,інші,196009,32122069,"ТОВ ""Житомирський м'ясокомбінат""",1
31,2025-12-31,2026-01-01,інші,365278,31764816,"ТОВ ""Техноторг-Дон""",1
32,2025-12-31,2026-01-01,інші,810199,30822837,"ПрАТ ""ЛЛГЗ""",1
33,2025-12-31,2026-01-01,інші,972642,44524171,"ТОВ ""СОЛІПАУЕР ТРЕЙДІНГ""",1
34,2025-12-31,2026-01-01,інші,1456327,44550002,"ТОВ ""ФОКУС ДИСТРИБЬЮШН""",1
35,2025-12-31,2026-01-01,інші,1294808,44638778,"ТОВ ""ТРЕЙД ГРАНІТ ІНВЕСТ""",1
36,2025-12-31,2026-01-01,інші,804100,43607439,"ТОВ ""АГРО-ЗЕРНО""",1
37,2025-12-31,2026-01-01,інші,72178,32751876,"ТОВ ""ПТК ШАБО""",1
38,2025-12-31,2026-01-01,інші,1266104,45088504,"ТОВ ""АГРОВИРОБНИЦТВО""",1
39,2025-12-31,2026-01-01,інші,931835,31980957,"ТОВ ""ПЗП""",1
40,2025-12-31,2026-01-01,інші,882715,42071643,"ТОВ ""ФІДНОВА""",1
41,2025-12-31,2026-01-01,інші,196731,14325705,"ТДВ ""ІНТЕРХІМ""",1
42,2025-12-31,2026-01-01,інші,724150,43162182,"ТОВ ""ВЕНТА РІТЕЙЛ""",1
43,2025-12-31,2026-01-01,інші,1965127,45713735,"ТОВ ""ДДС ІНТЕРНЕШНЛ""",1
