group_id,matching_year,group_name,edrpou,client_code,client_name,mandatory_no,segment,inclusion_flag,consolidation_method,ownership_share_pct,match_key,is_main_company,note
GROUP_UNMAPPED_42751799,2025,UNMAPPED_42751799,42751799,757990,"ТОВ  ""Д.ТРЕЙДІНГ""",1,ТОП,1,SUM,100,2025|42751799,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_37129163,2025,UNMAPPED_37129163,37129163,564799,"ТОВ ""АЛЬБАКОР""",2,ТОП,1,SUM,100,2025|37129163,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_45506389,2025,UNMAPPED_45506389,45506389,2159923,ТОВ «ІНЖУР СКАЙ»,3,ТОП,1,SUM,100,2025|45506389,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_41403314,2025,UNMAPPED_41403314,41403314,1456179,"ТОВ ""АВІАКОМПАНІЯ СКАЙАП""",4,ТОП,1,SUM,100,2025|41403314,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_40532173,2025,UNMAPPED_40532173,40532173,473782,"ТОВ ""ЮТЕРМ УКРАЇНА""",5,ТОП,1,SUM,100,2025|40532173,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_30976452,2025,UNMAPPED_30976452,30976452,365334,"ТОВ ""Техноторг""",6,ТОП,1,SUM,100,2025|30976452,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_32165482,2025,UNMAPPED_32165482,32165482,401694,"ТОВ ""ВИРОБНИЧА КОМПАНІЯ """"ВІКІНГ""""""",7,ТОП,1,SUM,100,2025|32165482,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_40292090,2025,UNMAPPED_40292090,40292090,390976,"ТОВ ""ЮГФУД""",8,ТОП,1,SUM,100,2025|40292090,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_45564660,2025,UNMAPPED_45564660,45564660,1481439,"ТОВ ""ПРОМЕТЕЙ КАПИТАЛ""",9,ТОП,1,SUM,100,2025|45564660,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_20831737,2025,UNMAPPED_20831737,20831737,122945,"ТзОВ ""ТРОПІК""",10,ТОП,1,SUM,100,2025|20831737,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_41054005,2025,UNMAPPED_41054005,41054005,506731,"ТОВ ""ЕЛІКСИР УКРАЇНА""",11,ТОП,1,SUM,100,2025|41054005,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_32673400,2025,UNMAPPED_32673400,32673400,980206,"ТзОВ ""КОРМОТЕХ""",12,ТОП,1,SUM,100,2025|32673400,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_30704028,2025,UNMAPPED_30704028,30704028,72133,"ТОВ ""ВИНФОРТ""",13,ТОП,1,SUM,100,2025|30704028,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_45054208,2025,UNMAPPED_45054208,45054208,1380642,"ТОВ ""ЄКСОН ЮК""",14,ТОП,1,SUM,100,2025|45054208,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_33074226,2025,UNMAPPED_33074226,33074226,56445,"ТОВ ""МТ""",15,ТОП,1,SUM,100,2025|33074226,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_45124442,2025,UNMAPPED_45124442,45124442,1323640,"ТОВ ""ПАЕК-ПІВДЕНЬ""",16,ТОП,1,SUM,100,2025|45124442,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_31466053,2025,UNMAPPED_31466053,31466053,597596,"ТОВ ""АКВАІЗОЛ""",17,ТОП,1,SUM,100,2025|31466053,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_36867724,2025,UNMAPPED_36867724,36867724,802695,"ТОВ ""ТЕРРАФУД""",18,ТОП,1,SUM,100,2025|36867724,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_37278720,2025,UNMAPPED_37278720,37278720,344654,"ТОВ ""СП УКРСОЯ""",19,ТОП,1,SUM,100,2025|37278720,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_45412956,2025,UNMAPPED_45412956,45412956,1491277,"ТОВ ""ПВ КОЕНЕРДЖІ""",20,ТОП,1,SUM,100,2025|45412956,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_45278636,2025,UNMAPPED_45278636,45278636,1862852,"ТОВ ""ФІДНОВА ЦЕНТР""",21,ТОП,1,SUM,100,2025|45278636,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_45038043,2025,UNMAPPED_45038043,45038043,1324436,"ТОВ ""ПАЕК-АГРО""",22,інші,1,SUM,100,2025|45038043,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_40334224,2025,UNMAPPED_40334224,40334224,392604,"ТОВ  ""ДДС+""",23,інші,1,SUM,100,2025|40334224,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_45425059,2025,UNMAPPED_45425059,45425059,2145272,ТОВ «ІНЖУР ЕНЕРДЖІ»,24,інші,1,SUM,100,2025|45425059,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_40548267,2025,UNMAPPED_40548267,40548267,725217,"ТОВ ""ПОЛИ-ТРЕЙД""",25,інші,1,SUM,100,2025|40548267,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_39681292,2025,UNMAPPED_39681292,39681292,450850,"ТОВ ""ТД """"МІЛК-СЕРВІС""""""",26,інші,1,SUM,100,2025|39681292,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_40976600,2025,UNMAPPED_40976600,40976600,744420,"ТОВ ""ППЕК""",27,інші,1,SUM,100,2025|40976600,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_37037544,2025,UNMAPPED_37037544,37037544,119958,"ТОВ ""ТОРГОВИЙ ДІМ """"СОКАР УКРАЇНА""""""",28,інші,1,SUM,100,2025|37037544,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_38305367,2025,UNMAPPED_38305367,38305367,325714,"ТОВ ""СОКАР ПЕТРОЛЕУМ""",29,інші,1,SUM,100,2025|38305367,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_32122069,2025,UNMAPPED_32122069,32122069,196009,"ТОВ ""Житомирський м'ясокомбінат""",30,інші,1,SUM,100,2025|32122069,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_31764816,2025,UNMAPPED_31764816,31764816,365278,"ТОВ ""Техноторг-Дон""",31,інші,1,SUM,100,2025|31764816,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_30822837,2025,UNMAPPED_30822837,30822837,810199,"ПрАТ ""ЛЛГЗ""",32,інші,1,SUM,100,2025|30822837,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_44524171,2025,UNMAPPED_44524171,44524171,972642,"ТОВ ""СОЛІПАУЕР ТРЕЙДІНГ""",33,інші,1,SUM,100,2025|44524171,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_44550002,2025,UNMAPPED_44550002,44550002,1456327,"ТОВ ""ФОКУС ДИСТРИБЬЮШН""",34,інші,1,SUM,100,2025|44550002,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
