entity_type,entity_id,entity_name,report_date,year,source_sheet,revenue,revenue_growth_pct,gross_profit,ebit,depreciation,ebitda,ebitda_margin,nie,net_income,cash,accounts_receivable,inventory,accounts_payable,total_assets,equity,current_assets,current_liabilities,total_interest_bearing_debt,net_debt,equity_ratio,current_ratio,net_debt_to_ebitda,icrm,dso_days,dio_days,dpo_days,financial_cycle_days,average_capital_need
COMPANY,00178353,"ПРАТ ""ДТЕК ПАВЛОГРАДВУГІЛЛЯ""",2026-01-01,2025,02_Raw_Wide,12500.0,,4500.0,2000.0,562.5,2562.5,0.205,225.0,2187.5,563.06,1855.0,1526.1699999999998,1416.1100000000001,14220.0,5972.4,6541.2,5543.39,3128.13,2565.07,0.42,1.1799999639209942,1.0010029268292684,11.38888888888889,54.166,74.89775462184873,69.49649075630252,59.567263865546195,1305.583865546218
COMPANY,00376403,"ТОВ""Буський консервний завод""",2026-01-01,2025,02_Raw_Wide,11250.0,,4050.0,1800.0,506.25,2306.25,0.205,202.5,1968.75,506.76,1669.5,1373.55,1274.49,12750.0,5355.0,5865.0,4970.34,2815.3099999999995,2308.5499999999993,0.42,1.1799997585678244,1.0009972899728994,11.38888888888889,54.166,74.89759103641457,69.496,59.567591036414555,1175.031932773109
COMPANY,01553770,"АТ ""Полтавахолод""",2026-01-01,2025,02_Raw_Wide,16000.0,,5760.0,2560.0,720.0,3280.0,0.205,288.0,2800.0,720.72,2374.4,1953.5,1812.6100000000001,18336.0,7701.12,8434.56,7147.93,4004.0,3283.2799999999997,0.42,1.1800003637416705,1.001,11.38888888888889,54.166,74.89784663865547,69.49607668067227,59.56776995798319,1671.161546218487
COMPANY,13429839,"ТОВ ""СПЕЦТЕХОСНАСТКА""",2026-01-01,2025,02_Raw_Wide,10625.0,,3825.0,1700.0,478.12,2178.12,0.2049995294117647,191.25,1859.37,478.6,1576.75,1297.25,1203.69,12015.0,5046.3,5526.9,4683.81,2658.8999999999996,2180.2999999999997,0.42000000000000004,1.1800008967058866,1.0010008631296714,11.388862745098038,54.166,74.89801293286175,69.49623371528723,59.56777921757451,1109.7558867931689
COMPANY,14291113,"ТОВ СП ""НІБУЛОН""",2026-01-01,2025,02_Raw_Wide,11000.0,,3960.0,1760.0,495.0,2255.0,0.205,198.0,1925.0,495.5,1632.4,1343.03,1246.17,12456.0,5231.52,5729.76,4855.73,2752.76,2257.26,0.42000000000000004,1.1799997116808392,1.0010022172949002,11.38888888888889,54.166,74.8977769289534,69.49611153552331,59.567665393430104,1148.9215462184875
COMPANY,14325705,"ТДВ ""ІНТЕРХІМ""",2026-01-01,2025,02_Raw_Wide,10125.0,,3645.0,1620.0,455.62,2075.62,0.2049995061728395,182.25,1771.87,456.08,1502.55,1236.2,1147.0400000000002,11427.0,4799.34,5256.42,4454.59,2533.77,2077.69,0.42000000000000004,1.180000853052694,1.0009972923752903,11.388861454046639,54.166,74.89783181007839,69.49588173388798,59.567950076190414,1057.535113681408
COMPANY,20205260,"Компанія ""Золотий Лев""",2026-01-01,2025,02_Raw_Wide,13250.0,,4770.0,2120.0,596.25,2716.25,0.205,238.5,2318.75,596.85,1966.3,1617.74,1501.07,15102.0,6342.84,6946.92,5887.22,3315.8199999999997,2718.97,0.42,1.1800000679437832,1.0010013805798434,11.38888888888889,54.166,74.89774536229586,69.49618519105755,59.56756017123831,1383.9257815126052
COMPANY,20831737,"ТзОВ ""ТРОПІК""",2026-01-01,2025,02_Raw_Wide,6250.0,,2250.0,1000.0,281.25,1281.25,0.205,112.5,1093.75,281.53,927.5,763.0799999999999,708.0500000000001,6870.0,2885.4,3160.2,2678.14,1564.06,1282.53,0.42000000000000004,1.1799980583539322,1.0009990243902438,11.38888888888889,54.166,74.89726386554621,69.49600000000001,59.56726386554621,652.7919327731091
COMPANY,22480087,"С П ""ВІТМАРК-УКРАЇНА"" ТОВ",2026-01-01,2025,02_Raw_Wide,10750.0,,3870.0,1720.0,483.75,2203.75,0.205,193.5,1881.25,484.23,1595.3,1312.51,1217.84,12162.0,5108.04,5594.52,4741.12,2690.1800000000003,2205.9500000000003,0.42,1.179999662526998,1.0009982983550767,11.38888888888889,54.166,74.89797146765683,69.49565761188195,59.56831385577486,1122.8219159663863
COMPANY,22722461,ПрАТ «КОМПЛЕКС БЕЗЛЮДІВ.М'ЯСОКОМБІНАТ»,2026-01-01,2025,02_Raw_Wide,12250.0,,4410.0,1960.0,551.25,2511.25,0.205,220.5,2143.75,551.8,1817.9,1495.6499999999999,1387.78,13926.0,5848.92,6405.96,5428.78,3065.56,2513.76,0.42,1.1799999263186205,1.0009995022399205,11.38888888888889,54.166,74.89792488423942,69.49610015434746,59.56782472989195,1279.4842352941175
COMPANY,30652567,"ТОВ ""АВТОМОБІЛЬНИЙ ДІМ""",2026-01-01,2025,02_Raw_Wide,11500.0,,4140.0,1840.0,517.5,2357.5,0.205,207.0,2012.5,518.02,1706.6,1404.09,1302.82,13044.0,5478.48,6000.24,5084.95,2877.87,2359.85,0.42,1.1799998033412324,1.0009968186638387,11.38888888888889,54.166,74.89848008768725,69.49642674461089,59.56805334307634,1201.1530756302518
COMPANY,30704028,"ТОВ ""ВИНФОРТ""",2026-01-01,2025,02_Raw_Wide,6625.0,,2385.0,1060.0,298.12,1358.12,0.20499924528301885,119.25,1159.37,298.42,983.15,808.88,750.53,7311.0,3070.62,3363.06,2850.05,1657.8999999999999,1359.4799999999998,0.42,1.1800003508710373,1.001001384266486,11.388846960167713,54.166,74.8985763138401,69.49563406293444,59.56894225090565,691.9789455995615
COMPANY,30822837,"ПрАТ ""ЛЛГЗ""",2026-01-01,2025,02_Raw_Wide,9000.0,,3240.0,1440.0,405.0,1845.0,0.205,162.0,1575.0,405.4,1335.6,1098.8500000000001,1019.59,10104.0,4243.68,4647.84,3938.85,2252.25,1846.85,0.42000000000000004,1.179999238356373,1.0010027100271002,11.38888888888889,54.166,74.8982726423903,69.49586367880487,59.56840896358541,940.0384537815123
COMPANY,30976452,"ТОВ ""Техноторг""",2026-01-01,2025,02_Raw_Wide,5750.0,,2070.0,920.0,258.75,1178.75,0.205,103.5,1006.25,259.01,853.3,702.04,651.4,6282.0,2638.44,2889.72,2448.92,1438.94,1179.93,0.42,1.1799977132776895,1.0010010604453872,11.38888888888889,54.166,74.89794665692364,69.49535988308367,59.56858677383997,600.5819159663865
COMPANY,31228240,"ТЗОВ ""АГРО-ІНВЕСТ""",2026-01-01,2025,02_Raw_Wide,13875.0,,4995.0,2220.0,624.38,2844.38,0.20500036036036037,249.75,2428.13,625.0,2059.05,1694.06,1571.88,15837.0,6651.54,7285.02,6173.75,3472.2299999999996,2847.2299999999996,0.42,1.1799991901194575,1.0010019758260147,11.38890890890891,54.16600000000001,74.89829958258737,69.49644000087214,59.56785958171524,1449.2125837962503
COMPANY,31466053,"ТОВ ""АКВАІЗОЛ""",2026-01-01,2025,02_Raw_Wide,7125.0,,2565.0,1140.0,320.62,1460.62,0.20499929824561403,128.25,1246.87,320.95,1057.35,869.9200000000001,807.1700000000001,7899.0,3317.58,3633.54,3079.27,1783.03,1462.08,0.42,1.1800004546532132,1.0009995755227232,11.388849902534112,54.16599999999999,74.89793318834359,69.49531535271667,59.56861783562691,744.1997187135854
COMPANY,31559190,"ТОВ ""ТД ІРБІС""",2026-01-01,2025,02_Raw_Wide,17000.0,,6120.0,2720.0,765.0,3485.0,0.205,306.0,2975.0,765.76,2522.8,2075.6,1925.8999999999999,19512.0,8195.04,8975.52,7606.37,4254.25,3488.49,0.42000000000000004,1.1800004469937697,1.0010014347202294,11.38888888888889,54.166000000000004,74.89807217004449,69.49614434008897,59.56792782995551,1775.6138487394956
COMPANY,31764816,"ТОВ ""Техноторг-Дон""",2026-01-01,2025,02_Raw_Wide,8875.0,,3195.0,1420.0,399.38,1819.38,0.2050005633802817,159.75,1553.13,399.77,1317.05,1083.5900000000001,1005.44,9957.0,4181.94,4580.22,3881.54,2220.97,1821.1999999999998,0.42,1.1800007213631705,1.0010003407754289,11.388920187793428,54.166,74.89846836166966,69.49668788892214,59.5677804727475,926.9725837950843
COMPANY,31893770,"ТОВ ""ГРАНО СОЛЮШН""",2026-01-01,2025,02_Raw_Wide,10875.0,,3915.0,1740.0,489.38,2229.38,0.20500045977011494,195.75,1903.13,489.86,1613.85,1327.77,1232.01,12309.0,5169.78,5662.14,4798.42,2721.4700000000003,2231.61,0.42,1.1800009169685022,1.0010002781042262,11.388914431673053,54.166,74.89793095561167,69.4962229276329,59.56770802797878,1135.8664325335133
COMPANY,31980957,"ТОВ ""ПЗП""",2026-01-01,2025,02_Raw_Wide,9875.0,,3555.0,1580.0,444.38,2024.38,0.20500050632911393,177.75,1728.13,444.82,1465.45,1205.6799999999998,1118.72,11133.0,4675.86,5121.18,4339.98,2471.2300000000005,2026.4100000000005,0.42,1.1800008294969102,1.0010027761586267,11.388917018284108,54.166,74.89817244818418,69.49612126039464,59.56805118778955,1031.4248863200821
COMPANY,32122069,"ТОВ ""Житомирський м'ясокомбінат""",2026-01-01,2025,02_Raw_Wide,8750.0,,3150.0,1400.0,393.75,1793.75,0.205,157.5,1531.25,394.14,1298.5,1068.3300000000002,991.27,9810.0,4120.2,4512.6,3824.24,2189.69,1795.5500000000002,0.42,1.1799991632324334,1.0010034843205575,11.38888888888889,54.166,74.89852581032414,69.496,59.56852581032415,913.928067226891
COMPANY,32165482,"ТОВ ""ВИРОБНИЧА КОМПАНІЯ """"ВІКІНГ""""""",2026-01-01,2025,02_Raw_Wide,5875.0,,2115.0,940.0,264.38,1204.38,0.20500085106382981,105.75,1028.13,264.64,871.85,717.3,665.5699999999999,6429.0,2700.18,2957.34,2506.22,1470.23,1205.5900000000001,0.42,1.1800001596029082,1.0010046663013334,11.388936170212768,54.166,74.89787219434606,69.4964126535493,59.56745954079676,613.6264325298515
COMPANY,32333962,"ПрАТ ""ІСРЗ""",2026-01-01,2025,02_Raw_Wide,14750.0,,5310.0,2360.0,663.75,3023.75,0.205,265.5,2581.25,664.41,2188.9,1800.89,1671.0,16866.0,7083.72,7758.36,6574.88,3691.18,3026.77,0.42000000000000004,1.1800002433504488,1.0009987598181067,11.38888888888889,54.166,74.89814556331008,69.49608317903433,59.56806238427576,1540.6096134453785
COMPANY,32399340,"ТОВ ""АГРОХІМРЕСУРС""",2026-01-01,2025,02_Raw_Wide,13750.0,,4950.0,2200.0,618.75,2818.75,0.205,247.5,2406.25,619.37,2040.5,1678.8,1557.71,15690.0,6589.8,7217.4,6116.44,3440.94,2821.57,0.42,1.1800001307950376,1.00100044345898,11.38888888888889,54.166,74.8983346065699,69.49600000000001,59.56833460656989,1436.1680672268906
COMPANY,32673400,"ТзОВ ""КОРМОТЕХ""",2026-01-01,2025,02_Raw_Wide,6500.0,,2340.0,1040.0,292.5,1332.5,0.205,117.0,1137.5,292.79,964.6,793.62,736.38,7164.0,3008.88,3295.44,2792.75,1626.63,1333.8400000000001,0.42000000000000004,1.1799982096499866,1.0010056285178237,11.38888888888889,54.166,74.8988493859082,69.49675500969619,59.568094376212,678.9130756302518
COMPANY,32751876,"ТОВ ""ПТК ШАБО""",2026-01-01,2025,02_Raw_Wide,9625.0,,3465.0,1540.0,433.12,1973.12,0.2049994805194805,173.25,1684.37,433.56,1428.35,1175.1599999999999,1090.4,10839.0,4552.38,4985.94,4225.37,2408.64,1975.08,0.42,1.1800008046632602,1.0009933506325008,11.388860028860028,54.166,74.8982692146509,69.4961305283156,59.56813868633529,1005.3143405693846
COMPANY,32998661,"ТОВ ""МАЛБІ ФУДС""",2026-01-01,2025,02_Raw_Wide,13000.0,,4680.0,2080.0,585.0,2665.0,0.205,234.0,2275.0,585.58,1929.2,1587.22,1472.74,14808.0,6219.36,6811.68,5772.61,3253.25,2667.67,0.42,1.1800000346463733,1.0010018761726078,11.38888888888889,54.166,74.89790562378798,69.49581124757594,59.56809437621203,1357.8261512605045
COMPANY,33074226,"ТОВ ""МТ""",2026-01-01,2025,02_Raw_Wide,6875.0,,2475.0,1100.0,309.38,1409.38,0.20500072727272728,123.75,1203.13,309.68,1020.25,839.4,778.86,7605.0,3194.1,3498.3,2964.66,1720.47,1410.79,0.42,1.1800004047681691,1.0010004399097474,11.388929292929294,54.166,74.89842615544832,69.4965310881969,59.5678950672514,718.0787350572772
COMPANY,33658865,"ТОВ ""РДС""",2026-01-01,2025,02_Raw_Wide,16375.0,,5895.0,2620.0,736.88,3356.88,0.20500030534351146,294.75,2865.63,737.61,2430.05,1999.29,1855.09,18777.0,7886.34,8637.42,7319.85,4097.85,3360.2400000000002,0.42,1.179999590155536,1.0010009294344748,11.388905852417302,54.166000000000004,74.89806653310232,69.49599820180804,59.5680683312943,1710.337961950587
